created_at,base,ticket1,ticket2,ticket3,exchange1,exchange2,exchange3,profit
2019-08-14T09:25:26.303Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,exmo,livecoin,1.8164
2019-08-14T09:25:26.302Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,poloniex,livecoin,1.3564
2019-08-14T09:25:26.300Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,kucoin,livecoin,1.8039
2019-08-14T09:25:26.301Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,hitbtc,livecoin,1.6311
2019-08-14T09:25:26.292Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,bittrex,livecoin,1.3926
2019-08-14T09:25:26.300Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,bitfinex,livecoin,1.6311
2019-08-14T09:25:26.291Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,binance,livecoin,1.8441
2019-08-14T09:25:26.292Z,USD,BCH/USD,BCH/BTC,BTC/USD,bitfinex,okex,livecoin,1.7762
2019-08-14T09:25:26.291Z,USD,BSV/USD,BSV/BTC,BTC/USD,bitfinex,gateio,livecoin,1.1284
2019-08-14T09:25:26.290Z,USD,BSV/USD,BSV/BTC,BTC/USD,bitfinex,poloniex,livecoin,1.2746
2019-08-14T09:25:26.289Z,USD,BSV/USD,BSV/BTC,BTC/USD,bitfinex,hitbtc,livecoin,1.3346
2019-08-14T09:25:26.289Z,USD,BSV/USD,BSV/BTC,BTC/USD,bitfinex,kucoin,livecoin,1.6186
2019-08-14T09:25:26.288Z,USD,BSV/USD,BSV/BTC,BTC/USD,bitfinex,bitfinex,livecoin,1.4886
2019-08-14T09:25:26.287Z,USD,BSV/USD,BSV/BTC,BTC/USD,bitfinex,okex,livecoin,1.5683
2019-08-14T09:25:26.285Z,USD,XTZ/USD,XTZ/BTC,BTC/USD,bitfinex,kraken,livecoin,1.1038
2019-08-14T09:25:26.288Z,USD,BSV/USD,BSV/BTC,BTC/USD,bitfinex,bittrex,livecoin,1.0446
2019-08-14T09:25:26.282Z,USD,XLM/USD,XLM/BTC,BTC/USD,bitfinex,kucoin,livecoin,1.2526
2019-08-14T09:25:26.284Z,USD,XLM/USD,XLM/BTC,BTC/USD,bitfinex,zb,livecoin,1.05
2019-08-14T09:25:26.275Z,USD,XLM/USD,XLM/BTC,BTC/USD,bitfinex,bitfinex,livecoin,1.1937
2019-08-14T09:25:26.283Z,USD,XLM/USD,XLM/BTC,BTC/USD,bitfinex,hitbtc,livecoin,1.0069
2019-08-14T09:25:26.275Z,USD,XLM/USD,XLM/BTC,BTC/USD,bitfinex,okex,livecoin,1.1513
2019-08-14T09:25:26.274Z,USD,XLM/USD,XLM/BTC,BTC/USD,bitfinex,binance,livecoin,1.2526
2019-08-14T09:25:26.273Z,USD,TRX/USD,TRX/BTC,BTC/USD,bitfinex,exmo,livecoin,1.6092
2019-08-14T09:25:26.385Z,USD,EOS/USD,EOS/ETH,ETH/USD,kraken,kraken,livecoin,1.0518
2019-08-14T09:25:26.272Z,USD,TRX/USD,TRX/BTC,BTC/USD,bitfinex,hitbtc,livecoin,1.4987
2019-08-14T09:25:26.384Z,USD,EOS/USD,EOS/BTC,BTC/USD,kraken,hitbtc,livecoin,2.18
2019-08-14T09:25:26.385Z,USD,EOS/USD,EOS/BTC,BTC/USD,kraken,kraken,livecoin,1.896
2019-08-14T09:25:26.384Z,USD,EOS/USD,EOS/ETH,ETH/USD,kraken,hitbtc,livecoin,1.1807
2019-08-14T09:25:26.385Z,USD,EOS/USD,LTC/EOS,LTC/USD,kraken,hitbtc,livecoin,1.0669
2019-08-14T09:25:26.384Z,USD,EOS/USD,EOS/ETH,ETH/USD,kraken,kucoin,livecoin,1.4855
2019-08-14T09:25:26.383Z,USD,EOS/USD,EOS/ETH,ETH/USD,kraken,bitfinex,livecoin,1.3602
2019-08-14T09:25:26.382Z,USD,EOS/USD,EOS/BTC,BTC/USD,kraken,bitfinex,livecoin,2.0133
2019-08-14T09:25:26.383Z,USD,EOS/USD,EOS/BTC,BTC/USD,kraken,kucoin,livecoin,2.3504
2019-08-14T09:25:26.381Z,USD,EOS/USD,EOS/BTC,BTC/USD,kraken,binance,livecoin,2.3027
2019-08-14T09:25:26.382Z,USD,EOS/USD,EOS/BTC,BTC/USD,kraken,bittrex,livecoin,1.7235
2019-08-14T09:25:26.381Z,USD,EOS/USD,EOS/BTC,BTC/USD,kraken,okex,livecoin,2.2532
2019-08-14T09:25:26.382Z,USD,EOS/USD,EOS/ETH,ETH/USD,kraken,okex,livecoin,1.3423
2019-08-14T09:25:26.372Z,USD,EOS/USD,EOS/ETH,ETH/USD,kraken,binance,livecoin,1.4595
2019-08-14T09:25:26.372Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,exmo,livecoin,1.6128
2019-08-14T09:25:26.372Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,zb,livecoin,1.6968
2019-08-14T09:25:26.371Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,gateio,livecoin,1.4116
2019-08-14T09:25:26.371Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,poloniex,livecoin,1.6266
2019-08-14T09:25:26.370Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,kraken,livecoin,1.5007
2019-08-14T09:25:26.370Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,hitbtc,livecoin,1.8869
2019-08-14T09:25:26.370Z,USD,DASH/USD,DASH/ETH,ETH/USD,kraken,hitbtc,livecoin,1.0187
2019-08-14T09:25:26.369Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,bitfinex,livecoin,1.7507
2019-08-14T09:25:26.370Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,kucoin,livecoin,1.6678
2019-08-14T09:25:26.368Z,USD,DASH/USD,DASH/ETH,ETH/USD,kraken,okex,livecoin,1.0297
2019-08-14T09:25:26.369Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,bittrex,livecoin,1.4417
2019-08-14T09:25:26.367Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,okex,livecoin,1.8304
2019-08-14T09:25:26.367Z,USD,DASH/USD,DASH/ETH,ETH/USD,kraken,binance,livecoin,1.3012
2019-08-14T09:25:26.366Z,USD,BCH/USD,BCH/ETH,ETH/USD,kraken,exmo,livecoin,1.2293
2019-08-14T09:25:26.367Z,USD,DASH/USD,DASH/BTC,BTC/USD,kraken,binance,livecoin,1.9642
2019-08-14T09:25:26.358Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,livecoin,livecoin,1.3323
2019-08-14T09:25:26.359Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,exmo,livecoin,2.3035
2019-08-14T09:25:26.355Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,kraken,livecoin,1.9139
2019-08-14T09:25:26.358Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,gateio,livecoin,2.0055
2019-08-14T09:25:26.354Z,USD,BCH/USD,BCH/ETH,ETH/USD,kraken,hitbtc,livecoin,1.1073
2019-08-14T09:25:26.357Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,poloniex,livecoin,1.8413
2019-08-14T09:25:26.354Z,USD,BCH/USD,BCH/ETH,ETH/USD,kraken,kucoin,livecoin,1.2014
2019-08-14T09:25:26.354Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,hitbtc,livecoin,2.1172
2019-08-14T09:25:26.353Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,bitfinex,livecoin,2.1172
2019-08-14T09:25:26.353Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,kucoin,livecoin,2.2909
2019-08-14T09:25:26.352Z,USD,BCH/USD,BCH/ETH,ETH/USD,kraken,bittrex,livecoin,1.0732
2019-08-14T09:25:26.352Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,bittrex,livecoin,1.8776
2019-08-14T09:25:26.351Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,binance,livecoin,2.3313
2019-08-14T09:25:26.352Z,USD,BCH/USD,BCH/BTC,BTC/USD,kraken,okex,livecoin,2.2631
2019-08-14T09:25:26.351Z,USD,ATOM/USD,ATOM/BTC,BTC/USD,kraken,gateio,livecoin,1.4798
2019-08-14T09:25:26.350Z,USD,ATOM/USD,ATOM/BTC,BTC/USD,kraken,poloniex,livecoin,1.2821
2019-08-14T09:25:26.350Z,USD,ATOM/USD,ATOM/BTC,BTC/USD,kraken,kucoin,livecoin,1.8993
2019-08-14T09:25:26.350Z,USD,ATOM/USD,ATOM/BTC,BTC/USD,kraken,kraken,livecoin,1.5566
2019-08-14T09:25:26.349Z,USD,ATOM/USD,ATOM/BTC,BTC/USD,kraken,okex,livecoin,1.6546
2019-08-14T09:25:26.349Z,USD,ATOM/USD,ATOM/BTC,BTC/USD,kraken,bittrex,livecoin,1.027
2019-08-14T09:25:26.348Z,USD,ADA/USD,ADA/ETH,ETH/USD,kraken,exmo,livecoin,1.2542
2019-08-14T09:25:26.348Z,USD,ATOM/USD,ATOM/BTC,BTC/USD,kraken,binance,livecoin,1.9159
2019-08-14T09:25:26.339Z,USD,ADA/USD,ADA/BTC,BTC/USD,kraken,zb,livecoin,1.7542
2019-08-14T09:25:26.340Z,USD,ADA/USD,ADA/BTC,BTC/USD,kraken,exmo,livecoin,1.7542
2019-08-14T09:25:26.338Z,USD,ADA/USD,ADA/BTC,BTC/USD,kraken,kraken,livecoin,1.8356
2019-08-14T09:25:26.339Z,USD,ADA/USD,ADA/BTC,BTC/USD,kraken,gateio,livecoin,1.5503
2019-08-14T09:25:26.338Z,USD,ADA/USD,ADA/BTC,BTC/USD,kraken,hitbtc,livecoin,2.0601
2019-08-14T09:25:26.338Z,USD,ADA/USD,ADA/ETH,ETH/USD,kraken,hitbtc,livecoin,1.5654
2019-08-14T09:25:26.337Z,USD,ADA/USD,ADA/BTC,BTC/USD,kraken,kucoin,livecoin,1.9582
2019-08-14T09:25:26.337Z,USD,ADA/USD,ADA/BTC,BTC/USD,kraken,bittrex,livecoin,1.6523
2019-08-14T09:25:26.336Z,USD,ADA/USD,ADA/ETH,ETH/USD,kraken,okex,livecoin,1.3156
2019-08-14T09:25:26.336Z,USD,ADA/USD,ADA/BTC,BTC/USD,kraken,okex,livecoin,1.8562
2019-08-14T09:25:26.456Z,USD,LTC/USD,ETH/LTC,ETH/USD,kraken,exmo,livecoin,1.2725
2019-08-14T09:25:26.335Z,USD,ADA/USD,ADA/BTC,BTC/USD,kraken,binance,livecoin,2.1626
2019-08-14T09:25:26.455Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,zb,livecoin,2.069
2019-08-14T09:25:26.455Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,livecoin,livecoin,1.602
2019-08-14T09:25:26.454Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,poloniex,livecoin,1.9287
2019-08-14T09:25:26.455Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,gateio,livecoin,1.9542
2019-08-14T09:25:26.454Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,kraken,livecoin,1.8572
2019-08-14T09:25:26.453Z,USD,LTC/USD,LTC/ETH,ETH/USD,kraken,hitbtc,livecoin,1.1431
2019-08-14T09:25:26.453Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,kucoin,livecoin,2.2481
2019-08-14T09:25:26.453Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,hitbtc,livecoin,2.0894
2019-08-14T09:25:26.452Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,bitfinex,livecoin,2.032
2019-08-14T09:25:26.451Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,bittrex,livecoin,1.8348
2019-08-14T09:25:26.452Z,USD,LTC/USD,LTC/ETH,ETH/USD,kraken,kucoin,livecoin,1.4116
2019-08-14T09:25:26.451Z,USD,LTC/USD,LTC/ETH,ETH/USD,kraken,okex,livecoin,1.2876
2019-08-14T09:25:26.450Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,okex,livecoin,2.1458
2019-08-14T09:25:26.444Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,exmo,livecoin,1.8778
2019-08-14T09:25:26.450Z,USD,LTC/USD,LTC/ETH,ETH/USD,kraken,binance,livecoin,1.3815
2019-08-14T09:25:26.445Z,USD,LTC/USD,LTC/BTC,BTC/USD,kraken,binance,livecoin,2.2737
2019-08-14T09:25:26.443Z,USD,ETH/USD,BCH/ETH,BCH/USD,kraken,exmo,livecoin,2.0162
2019-08-14T09:25:26.442Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,gateio,livecoin,2.0018
2019-08-14T09:25:26.443Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,zb,livecoin,2.0999
2019-08-14T09:25:26.438Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,kraken,livecoin,1.9411
2019-08-14T09:25:26.442Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,livecoin,livecoin,1.9218
2019-08-14T09:25:26.437Z,USD,ETH/USD,LTC/ETH,LTC/USD,kraken,hitbtc,livecoin,1.1007
2019-08-14T09:25:26.438Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,poloniex,livecoin,1.9897
2019-08-14T09:25:26.436Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,hitbtc,livecoin,2.1412
2019-08-14T09:25:26.438Z,USD,ETH/USD,BCH/ETH,BCH/USD,kraken,hitbtc,livecoin,2.2726
2019-08-14T09:25:26.436Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,kucoin,livecoin,2.346
2019-08-14T09:25:26.435Z,USD,ETH/USD,LTC/ETH,LTC/USD,kraken,kucoin,livecoin,1.4027
2019-08-14T09:25:26.435Z,USD,ETH/USD,BCH/ETH,BCH/USD,kraken,kucoin,livecoin,2.4519
2019-08-14T09:25:26.434Z,USD,ETH/USD,BCH/ETH,BCH/USD,kraken,bittrex,livecoin,2.1196
2019-08-14T09:25:26.434Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,bitfinex,livecoin,1.9966
2019-08-14T09:25:26.428Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,okex,livecoin,2.2178
2019-08-14T09:25:26.433Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,bittrex,livecoin,2.0245
2019-08-14T09:25:26.427Z,USD,ETH/USD,DASH/ETH,DASH/USD,kraken,binance,livecoin,1.0831
2019-08-14T09:25:26.428Z,USD,ETH/USD,LTC/ETH,LTC/USD,kraken,okex,livecoin,1.3337
2019-08-14T09:25:26.428Z,USD,ETH/USD,LTC/ETH,LTC/USD,kraken,binance,livecoin,1.4528
2019-08-14T09:25:26.427Z,USD,ETH/USD,ETH/BTC,BTC/USD,kraken,binance,livecoin,2.3512
2019-08-14T09:25:26.421Z,USD,ETC/USD,ETC/BTC,BTC/USD,kraken,kraken,livecoin,1.4295
2019-08-14T09:25:26.420Z,USD,USDT/USD,BCH/USDT,BCH/USD,kraken,exmo,livecoin,2.3346
2019-08-14T09:25:26.420Z,USD,USDT/USD,ETH/USDT,ETH/USD,kraken,exmo,livecoin,1.1489
2019-08-14T09:25:26.421Z,USD,ETC/USD,ETC/ETH,ETH/USD,kraken,kraken,livecoin,1.0555
2019-08-14T09:25:26.420Z,USD,USDT/USD,BTC/USDT,BTC/USD,kraken,exmo,livecoin,2.1607
2019-08-14T09:25:26.419Z,USD,USDT/USD,LEO/USDT,LEO/USD,kraken,zb,bitfinex,1.4872
2019-08-14T09:25:26.419Z,USD,USDT/USD,BCH/USDT,BCH/USD,kraken,zb,livecoin,2.5343
2019-08-14T09:25:26.418Z,USD,USDT/USD,ETH/USDT,ETH/USD,kraken,zb,livecoin,1.3843
2019-08-14T09:25:26.419Z,USD,USDT/USD,LTC/USDT,LTC/USD,kraken,zb,livecoin,1.2993
2019-08-14T09:25:26.418Z,USD,USDT/USD,LTC/USDT,LTC/USD,kraken,gateio,livecoin,1.4074
2019-08-14T09:25:26.418Z,USD,USDT/USD,BTC/USDT,BTC/USD,kraken,zb,livecoin,2.1876
2019-08-14T09:25:26.417Z,USD,USDT/USD,ETH/USDT,ETH/USD,kraken,gateio,livecoin,1.4237
2019-08-14T09:25:26.417Z,USD,USDT/USD,BCH/USDT,BCH/USD,kraken,gateio,livecoin,2.6538
2019-08-14T09:25:26.417Z,USD,USDT/USD,BTC/USDT,BTC/USD,kraken,gateio,livecoin,2.2861
2019-08-14T09:25:26.416Z,USD,USDT/USD,BCH/USDT,BCH/USD,kraken,poloniex,livecoin,2.0615
2019-08-14T09:25:26.416Z,USD,USDT/USD,ETH/USDT,ETH/USD,kraken,poloniex,livecoin,1.3661
2019-08-14T09:25:26.415Z,USD,USDT/USD,LTC/USDT,LTC/USD,kraken,poloniex,livecoin,1.0278
2019-08-14T09:25:26.415Z,USD,USDT/USD,BTC/USDT,BTC/USD,kraken,poloniex,livecoin,2.0618
2019-08-14T09:25:26.415Z,USD,USDT/USD,BCH/USDT,BCH/USD,kraken,hitbtc,livecoin,2.5298
2019-08-14T09:25:26.414Z,USD,USDT/USD,ETH/USDT,ETH/USD,kraken,hitbtc,livecoin,1.4453
2019-08-14T09:25:26.414Z,USD,USDT/USD,LTC/USDT,LTC/USD,kraken,hitbtc,livecoin,1.3207
2019-08-14T09:25:26.407Z,USD,USDT/USD,BTC/USDT,BTC/USD,kraken,kucoin,livecoin,2.5096
2019-08-14T09:25:26.407Z,USD,USDT/USD,BTC/USDT,BTC/USD,kraken,hitbtc,livecoin,2.2829
