
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > hitbtc | profit: 1.1381516269805303 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > binance | profit: 1.0725239920172953 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > kucoin | profit: 1.096388586549395 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | exmo > kraken > cointiger | profit: 1.0068963570540745 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > binance > kraken | profit: 1.24814321830209 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > kucoin > kraken | profit: 1.2109830271508457 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | exmo > cointiger > kraken | profit: 1.0696338368324376 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | cointiger > hitbtc > kraken | profit: 1.0259190666855886 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > bittrex | profit: 1.0745454096772988 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > kraken | profit: 1.0559219910941948 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > poloniex | profit: 1.1156721257150224 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > hitbtc | profit: 1.1872409682828362 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > binance | profit: 1.1215814796885297 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > kucoin | profit: 1.1454576573592021 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > gateio | profit: 1.0201077245882004 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | cointiger > kraken > cointiger | profit: 1.0559219910941948 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | cointiger > binance > kraken | profit: 1.1913491763710766 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | cointiger > kucoin > kraken | profit: 1.0309444063364168 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | cointiger > binance > kraken | profit: 1.3018923996892369 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | cointiger > kucoin > kraken | profit: 1.2647124814616433 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | cointiger > cointiger > kraken | profit: 1.1232882536854873 %
