"etc/eth-okex-kraken","2019-08-08T14:24:57.476Z","ETC/ETH",37.41114852,"okex",0.02673,"kraken",0.027751,,,3.6159
"etc/usd-bittrex-kraken","2019-08-08T14:24:57.476Z","ETC/USD",0.16770082,"bittrex",5.963,"kraken",6.189,,,3.5862
"eth/usd-cobinhood-livecoin","2019-08-08T14:24:57.477Z","ETH/USD",0.00550025,"cobinhood",181.81,"livecoin",225.35001,,,23.7241
"eth/usdt-exmo-bleutrade","2019-08-08T14:24:57.478Z","ETH/USDT",0.00448935,"exmo",222.74950148,"bleutrade",228.99389,,,2.6005
"leo/btc-bitz-bitfinex","2019-08-08T14:24:57.478Z","LEO/BTC",371747.21189591,"bitz",0.00000269,"bitfinex",0.00010595,,,3834.623
"btg/usd-exmo-livecoin","2019-08-08T14:24:57.470Z","BTG/USD",0.0622665,"exmo",16.05999999,"livecoin",17,,,5.6472
"leo/eth-bitfinex-coss","2019-08-08T14:24:57.479Z","LEO/ETH",178.83009353,"bitfinex",0.0055919,"coss",0.00581,,,3.6964
"omg/eth-binance-coinexchange","2019-08-08T14:24:57.480Z","OMG/ETH",156.81354869,"binance",0.006377,"coinexchange",0.007,,,9.5597
"omg/usd-bitfinex-coss","2019-08-08T14:24:57.481Z","OMG/USD",0.70190215,"bitfinex",1.4247,"coss",1.6,,,12.092
"qtum/eth-binance-coinexchange","2019-08-08T14:24:57.482Z","QTUM/ETH",78.77737514,"binance",0.012694,"coinexchange",0.0133,,,4.5691
"trx/usd-bittrex-coss","2019-08-08T14:24:57.482Z","TRX/USD",45.62043796,"bittrex",0.02192,"coss",0.023,,,4.7221
"xlm/usd-kraken-coss","2019-08-08T14:24:57.485Z","XLM/USD",13.03356142,"kraken",0.076725,"coss",0.088,,,14.4806
"zec/btc-bitfinex-cobinhood","2019-08-08T14:24:57.486Z","ZEC/BTC",189.26847734,"bitfinex",0.0052835,"cobinhood",0.0055,,,3.8936
"omg/btc-hitbtc-coss","2019-08-08T14:24:57.480Z","OMG/BTC",8250.82508251,"hitbtc",0.0001212,"coss",0.000125,,,2.9322
"bch/usdt-coinexchange-zb","2019-08-08T14:27:49.305Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"zb",329.41,,,6.4304
"cro/btc-kucoin-livecoin","2019-08-08T14:27:49.311Z","CRO/BTC",247524.75247525,"kucoin",0.00000404,"livecoin",0.0000045,,,11.1748
"dash/usdt-zb-coss","2019-08-08T14:27:49.313Z","DASH/USDT",0.00954754,"zb",104.739,"coss",164,,,56.3231
"etc/btc-poloniex-kraken","2019-08-08T14:27:49.315Z","ETC/BTC",1965.02259776,"poloniex",0.0005089,"kraken",0.000529,,,3.7457
"btg/usd-exmo-livecoin","2019-08-08T14:27:49.309Z","BTG/USD",0.0622665,"exmo",16.05999999,"livecoin",17,,,5.6472
"etc/eth-okex-kraken","2019-08-08T14:27:49.315Z","ETC/ETH",37.41114852,"okex",0.02673,"kraken",0.027751,,,3.6159
"etc/usd-bittrex-kraken","2019-08-08T14:27:49.316Z","ETC/USD",0.16764459,"bittrex",5.965,"kraken",6.187,,,3.518
"eth/usdt-exmo-bleutrade","2019-08-08T14:27:49.318Z","ETH/USDT",0.00449256,"exmo",222.59,"bleutrade",228.99389,,,2.6741
"leo/btc-bitz-bitfinex","2019-08-08T14:27:49.319Z","LEO/BTC",374531.83520599,"bitz",0.00000267,"bitfinex",0.00010616,,,3871.9539
"leo/eth-bitfinex-coss","2019-08-08T14:27:49.320Z","LEO/ETH",178.83009353,"bitfinex",0.0055919,"coss",0.00581,,,3.6964
"omg/btc-kucoin-coss","2019-08-08T14:27:49.322Z","OMG/BTC",8241.30542278,"kucoin",0.00012134,"coss",0.000125,,,2.8133
"omg/eth-okex-coinexchange","2019-08-08T14:27:49.323Z","OMG/ETH",156.49452269,"okex",0.00639,"coinexchange",0.007,,,9.3366
"eth/usd-cobinhood-livecoin","2019-08-08T14:27:49.317Z","ETH/USD",0.00550025,"cobinhood",181.81,"livecoin",225.35,,,23.7241
"omg/usd-bitfinex-coss","2019-08-08T14:27:49.324Z","OMG/USD",0.7009182,"bitfinex",1.4267,"coss",1.6,,,11.9348
"qtum/eth-binance-coinexchange","2019-08-08T14:27:49.325Z","QTUM/ETH",78.85813422,"binance",0.012681,"coinexchange",0.0133,,,4.6764
"xlm/usd-kraken-coss","2019-08-08T14:27:49.327Z","XLM/USD",13.04699528,"kraken",0.076646,"coss",0.088,,,14.5987
"trx/usd-bittrex-coss","2019-08-08T14:27:49.326Z","TRX/USD",45.70383912,"bittrex",0.02188,"coss",0.023,,,4.9137
"zec/btc-hitbtc-cobinhood","2019-08-08T14:27:49.329Z","ZEC/BTC",189.28639031,"hitbtc",0.005283,"cobinhood",0.0055,,,3.9034
"zec/btc-binance-cobinhood","2019-08-08T14:28:03.474Z","ZEC/BTC",189.32222643,"binance",0.005282,"cobinhood",0.0055,,,3.9231
"etc/btc-bittrex-kraken","2019-08-08T14:28:34.449Z","ETC/BTC",1965.71788017,"bittrex",0.00050872,"kraken",0.000529,,,3.7825
"etc/usd-bitfinex-kraken","2019-08-08T14:28:34.450Z","ETC/USD",0.1676193,"bitfinex",5.9659,"kraken",6.187,,,3.5024
"omg/eth-binance-coinexchange","2019-08-08T14:28:55.471Z","OMG/ETH",156.51901706,"binance",0.006389,"coinexchange",0.007,,,9.3537
"dash/usdt-gateio-coss","2019-08-08T14:29:11.802Z","DASH/USDT",0.00953834,"gateio",104.84,"coss",164,,,56.1724
"zec/btc-bitfinex-cobinhood","2019-08-08T14:29:11.804Z","ZEC/BTC",189.1682273,"bitfinex",0.0052863,"cobinhood",0.0055,,,3.8385
