created_at,base,exchange,ticket1,ticket2,ticket3,profit
2019-08-20T21:36:58.249Z,BTC,coinex,BTC/USDT,DOGE/USDT,DOGE/BTC,0.5294
2019-08-20T21:36:58.252Z,BTC,coinex,BTC/USDT,USDC/USDT,BTC/USDC,108.7394
2019-08-20T21:36:58.255Z,BTC,coinex,BCH/BTC,BCH/USDC,BTC/USDC,101.7615
2019-08-20T21:56:31.483Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.0707
2019-08-20T21:56:46.920Z,BTC,zb,BTC/USDT,DOGE/USDT,DOGE/BTC,0.0983
2019-08-20T21:57:02.348Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.0707
2019-08-20T21:57:13.856Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.0707
2019-08-20T21:57:31.181Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.0707
2019-08-20T21:57:47.393Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.0707
2019-08-20T21:58:01.879Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.114
2019-08-20T21:58:14.059Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.114
2019-08-20T21:58:31.086Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.1574
2019-08-20T21:58:48.884Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.1574
2019-08-20T21:59:02.673Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.1574
2019-08-20T21:59:14.419Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.1574
2019-08-20T21:59:31.621Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.1574
2019-08-20T21:59:47.386Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.1574
2019-08-20T22:00:01.538Z,ETH,coinex,ETH/BCH,VET/BCH,VET/ETH,0.1574
2019-08-20T22:01:04.574Z,BTC,coinex,BTC/USDT,DOGE/USDT,DOGE/BTC,0.7092
2019-08-20T22:01:04.575Z,BTC,coinex,BTC/USDT,USDC/USDT,BTC/USDC,108.8763
2019-08-20T22:01:04.578Z,BTC,coinex,BCH/BTC,BCH/USDC,BTC/USDC,101.6239
2019-08-20T22:35:57.767Z,BTC,zb,BTC/USDT,TRX/USDT,TRX/BTC,0.085
2019-08-20T23:10:26.446Z,BTC,gateio,BTC/USDT,DOGE/USDT,DOGE/BTC,0.4706
2019-08-20T23:10:26.448Z,BTC,gateio,BTC/USDT,USDC/USDT,BTC/USDC,107.9929
2019-08-20T23:14:41.508Z,BTC,coinex,BTC/USDT,DOGE/USDT,DOGE/BTC,0.6656
2019-08-20T23:14:41.509Z,BTC,coinex,BTC/USDT,USDC/USDT,BTC/USDC,108.5427
2019-08-20T23:14:41.512Z,BTC,coinex,BCH/BTC,BCH/USDC,BTC/USDC,101.7615
2019-08-20T23:24:41.485Z,BTC,zb,BTC/USDT,DOGE/USDT,DOGE/BTC,0.4422
2019-08-20T23:31:08.121Z,BTC,hitbtc,BTC/USDT,ATOM/USDT,ATOM/BTC,0.1078
2019-08-21T00:14:52.610Z,ETH,coinex,ETH/USDT,BCH/USDT,ETH/BCH,0.0737
2019-08-21T00:15:23.825Z,ETH,coinex,ETH/USDT,BCH/USDT,ETH/BCH,0.0585
2019-08-21T00:15:30.617Z,ETH,coinex,ETH/USDT,BCH/USDT,ETH/BCH,0.0712
2019-08-21T00:20:56.485Z,BTC,coinex,BTC/USDT,DOGE/USDT,DOGE/BTC,0.2138
2019-08-21T00:20:56.489Z,BTC,coinex,BCH/BTC,BCH/USDC,BTC/USDC,102.5909
2019-08-21T00:20:56.486Z,BTC,coinex,BTC/USDT,USDC/USDT,BTC/USDC,108.2872
2019-08-21T00:37:12.924Z,BTC,coinex,BCH/BTC,ETC/BCH,ETC/BTC,0.1825
2019-08-21T00:42:16.637Z,BTC,coinex,BTC/USDT,USDC/USDT,BTC/USDC,106.5814
2019-08-21T00:42:16.640Z,BTC,coinex,BCH/BTC,BCH/USDC,BTC/USDC,101.9682
2019-08-21T00:45:02.192Z,BTC,coinex,BTC/USDT,USDC/USDT,BTC/USDC,107.072
2019-08-21T00:45:02.204Z,BTC,coinex,BCH/BTC,BCH/USDC,BTC/USDC,101.8303
2019-08-21T00:46:02.600Z,BTC,coinex,BTC/USDT,USDC/USDT,BTC/USDC,107.0836
2019-08-21T00:46:02.604Z,BTC,coinex,BCH/BTC,BCH/USDC,BTC/USDC,101.6927
2019-08-21T00:49:16.148Z,BTC,kucoin,XTZ/BTC,XTZ/USDT,BTC/USDT,0.0561
2019-08-21T00:49:16.149Z,BTC,kucoin,ADA/BTC,ADA/USDT,BTC/USDT,0.0654
2019-08-21T00:49:33.109Z,BTC,kucoin,XTZ/BTC,XTZ/USDT,BTC/USDT,0.0551
2019-08-21T00:49:33.110Z,BTC,kucoin,ADA/BTC,ADA/USDT,BTC/USDT,0.0645
2019-08-21T00:50:45.904Z,BTC,zb,XLM/BTC,XLM/USDT,BTC/USDT,0.0706
2019-08-21T00:50:47.740Z,BTC,kucoin,XTZ/BTC,XTZ/USDT,BTC/USDT,0.1419
2019-08-21T00:51:18.270Z,BTC,kucoin,XTZ/BTC,XTZ/USDT,BTC/USDT,0.0744
2019-08-21T01:05:24.075Z,BTC,kucoin,ADA/BTC,ADA/USDT,BTC/USDT,0.2303
2019-08-21T01:05:39.196Z,BTC,kucoin,ADA/BTC,ADA/USDT,BTC/USDT,0.1288
2019-08-21T01:33:43.602Z,BTC,coinex,BTC/USDT,USDC/USDT,BTC/USDC,106.7459
2019-08-21T01:33:43.605Z,BTC,coinex,BCH/BTC,BCH/USDC,BTC/USDC,101.6239
2019-08-21T01:38:11.746Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1411
2019-08-21T01:43:00.904Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1641
2019-08-21T01:43:13.503Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.148
2019-08-21T01:43:27.761Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1377
2019-08-21T01:43:44.000Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1416
2019-08-21T01:43:58.880Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0608
2019-08-21T01:45:13.349Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0794
2019-08-21T01:45:28.360Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0615
2019-08-21T01:45:58.472Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0528
2019-08-21T01:46:13.803Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.06
2019-08-21T01:46:29.043Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1136
2019-08-21T02:39:41.247Z,BTC,zb,XLM/BTC,XLM/USDT,BTC/USDT,0.1011
2019-08-21T02:42:57.736Z,BTC,zb,XLM/BTC,XLM/USDT,BTC/USDT,0.0503
2019-08-21T02:43:12.893Z,BTC,zb,XLM/BTC,XLM/USDT,BTC/USDT,0.0503
2019-08-21T02:43:26.897Z,BTC,zb,XLM/BTC,XLM/USDT,BTC/USDT,0.0504
2019-08-21T02:43:42.158Z,BTC,zb,XLM/BTC,XLM/USDT,BTC/USDT,0.0776
2019-08-21T02:43:57.093Z,BTC,zb,XLM/BTC,XLM/USDT,BTC/USDT,0.1225
2019-08-21T02:44:14.224Z,BTC,zb,XLM/BTC,XLM/USDT,BTC/USDT,0.1869
2019-08-21T02:44:14.225Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0527
2019-08-21T02:44:28.166Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0798
