BTC | ETH/BTC > ETC/ETH > ETC/BTC | hitbtc > kucoin > kraken | profit: 1.0337732885530642 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > bittrex | profit: 1.1272794495742886 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > kraken | profit: 0.9527439023786286 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > poloniex | profit: 1.042188152735136 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > hitbtc | profit: 1.0600770028064375 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > binance | profit: 1.0183363526400626 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > kucoin | profit: 1.0481511027588937 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > gateio | profit: 0.9348550523073413 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > livecoin | profit: 0.6784482012853204 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > exmo | profit: 0.9825586524974597 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > cointiger | profit: 0.9348550523073413 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > coss | profit: 1.012373402616305 %
BTC | XRP/BTC > TRX/XRP > TRX/BTC | hitbtc > binance > livecoin | profit: 0.06200578307269211 %
BTC | BNB/BTC > TRX/BNB > TRX/BTC | hitbtc > binance > livecoin | profit: 0.4436235762994727 %
BTC | BNB/BTC > ETC/BNB > ETC/BTC | hitbtc > binance > kraken | profit: 1.428169985611703 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | hitbtc > hitbtc > kraken | profit: 0.9359363292924883 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | hitbtc > poloniex > kraken | profit: 0.5068764637415768 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | hitbtc > binance > kraken | profit: 0.920056650936246 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | binance > bittrex > kraken | profit: 0.7651455403919414 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | binance > poloniex > kraken | profit: 0.5233343165437816 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | binance > hitbtc > kraken | profit: 0.8526691807340683 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | binance > binance > kraken | profit: 1.2664908700118787 %
BTC | ETH/BTC > TRX/ETH > TRX/BTC | binance > binance > livecoin | profit: 0.22848396479770372 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | binance > kucoin > kraken | profit: 1.1648499124561482 %
BTC | ETH/BTC > TRX/ETH > TRX/BTC | binance > kucoin > livecoin | profit: 0.13750156700825755 %
BTC | ETH/BTC > ETH/USDC > USDC/BTC | binance > kucoin > exmo | profit: 0.10850043862514269 %
BTC | BNB/BTC > TRX/BNB > TRX/BTC | binance > binance > livecoin | profit: 0.3967521698019141 %
BTC | BNB/BTC > ETC/BNB > ETC/BTC | binance > binance > kraken | profit: 1.380839146515811 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | binance > bittrex > kraken | profit: 0.8935733870448388 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | binance > poloniex > kraken | profit: 1.2047183015371985 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | binance > hitbtc > kraken | profit: 0.9994328334033042 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | binance > hitbtc > livecoin | profit: 0.13021040023517116 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | binance > binance > livecoin | profit: 0.30762521740972204 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | binance > binance > kraken | profit: 1.4588626380044047 %
BTC | BTC/USDT > USDC/USDT > USDC/BTC | binance > binance > exmo | profit: 0.12106709163001028 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | binance > kucoin > kraken | profit: 1.4202110763905011 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | binance > kucoin > livecoin | profit: 0.31393426987952466 %
BTC | BTC/USDT > USDT/USDC > USDC/BTC | binance > kucoin > exmo | profit: 0.07095649755061118 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | binance > gateio > kraken | profit: 1.2009582179903333 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | binance > cointiger > kraken | profit: 1.173437940702442 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > bittrex | profit: 1.1180633256072952 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > kraken | profit: 0.9435436845177776 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > poloniex | profit: 1.0329797834703953 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > hitbtc | profit: 1.0508670032609047 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > binance | profit: 1.0091301570830211 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > kucoin | profit: 1.0389421900672176 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > gateio | profit: 0.9256564647272398 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > livecoin | profit: 0.6692729810630738 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > exmo | profit: 0.973355717501974 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > cointiger | profit: 0.9256564647272398 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | binance > kraken > coss | profit: 1.0031677504861847 %
BTC | TRX/BTC > TRX/USDC > USDC/BTC | binance > binance > exmo | profit: 0.14551861506352282 %
BTC | XRP/BTC > TRX/XRP > TRX/BTC | binance > binance > livecoin | profit: 0.11346818319202612 %
BTC | BCH/BTC > TRX/BCH > TRX/BTC | binance > hitbtc > livecoin | profit: 0.06176104178796038 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | binance > hitbtc > kraken | profit: 1.0832686044038695 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | binance > poloniex > kraken | profit: 0.7646584022274681 %
BTC | BTC/USDC > TRX/USDC > TRX/BTC | binance > binance > livecoin | profit: 0.09719340879262006 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | binance > binance > kraken | profit: 1.1788983217841746 %
BTC | BTC/USDC > USDC/ETH > ETH/BTC | binance > exmo > bittrex | profit: 0.07894923300123935 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > bittrex | profit: 1.2128022981172393 %
