opp_created_at,ord_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent
2019-09-05T17:52:24.477Z,2019-09-05T17:52:25.728Z,ETC/BTC,ETC,BTC,kucoin,kraken,48.198544195144976,0.032013561780840014,3.2013561780840014e-05,0.1,320.15,0.21238750999999997,0.0030675815500299797,1.4443323668279646
2019-09-05T17:52:24.478Z,2019-09-05T17:52:28.426Z,ETC/BTC,ETC,BTC,cointiger,kraken,52.90178795741313,0.03518620651349255,3.518620651349255e-05,0.1,325,0.2158,0.002817003199500012,1.305376830166827
2019-09-05T17:52:54.513Z,2019-09-05T17:52:58.432Z,ETC/BTC,ETC,BTC,bitfinex,kraken,51.09543490462504,0.033967703542369665,3.396770354236967e-05,0.1,74.8643136,0.049659745140288,0.0002837638758284647,0.571416295083344
2019-09-05T17:53:24.482Z,2019-09-05T17:53:28.432Z,ETC/BTC,ETC,BTC,binance,kraken,51.123030391755485,0.03398631849862426,3.398631849862426e-05,0.1,325,0.2158,0.0029267296670000002,1.356223200648749
2019-09-05T17:53:54.562Z,2019-09-05T17:53:55.718Z,ETC/BTC,ETC,BTC,okex,kraken,47.32265128382048,0.03142271487348319,3.1422714873483196e-05,0.1,74.95762,0.04969690206,0.0003408694849700786,0.6858968483760627
2019-09-05T17:54:09.488Z,2019-09-05T17:54:10.717Z,ETC/BTC,ETC,BTC,gateio,kraken,81.26818252560523,0.05432119012482835,5.432119012482835e-05,0.1,97.86427724,0.06527547291908,0.00016746596362077204,0.25655266232750923
2019-09-05T17:54:24.528Z,2019-09-05T17:54:28.722Z,ETC/BTC,ETC,BTC,kucoin,kraken,50.10955888250865,0.0333026658520613,3.33026658520613e-05,0.1,320.15,0.21251557,0.0029395215500299665,1.383202910746712
2019-09-05T17:54:24.529Z,2019-09-05T17:54:31.439Z,ETC/BTC,ETC,BTC,cointiger,kraken,52.90178795741313,0.03518620651349255,3.518620651349255e-05,0.1,325,0.2158,0.002817003199500012,1.305376830166827
2019-09-05T17:54:24.531Z,2019-09-05T17:54:34.755Z,ETC/ETH,ETC,ETH,hitbtc,kraken,16.790004300749974,0.6859550582511976,0.0006859550582511976,0.1,30,1.223052,0.005202517721200062,0.42537175207595934
2019-09-05T17:54:54.527Z,2019-09-05T17:54:58.436Z,ETC/BTC,ETC,BTC,bitfinex,kraken,52.749832594042516,0.03508370270812663,3.508370270812663e-05,0.1,74.81068375,0.049647362163849997,0.00026000626909681446,0.5237061099816783
